epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4857.25,1.34879,1.2757,0.01157,0.79739,0.77627,0.80323,0.58133,1.48281,1.45215,0.01932,0.0194013,0.00646711,0.0194013,0.00646711,0.0194013,0.00646711,0.0194013,0.00646711
31,5018.13,1.34288,1.23466,0.0117,0.86688,0.74491,0.80851,0.59098,1.46991,1.47447,0.01865,0.0191029,0.00636763,0.0191029,0.00636763,0.0191029,0.00636763,0.0191029,0.00636763
32,5178.45,1.34019,1.23301,0.01131,0.83172,0.76601,0.80646,0.59435,1.46152,1.4354,0.01809,0.0187976,0.00626585,0.0187976,0.00626585,0.0187976,0.00626585,0.0187976,0.00626585
33,5338.48,1.33938,1.19332,0.0112,0.8394,0.76602,0.80693,0.59469,1.45289,1.40063,0.01788,0.0184856,0.00616187,0.0184856,0.00616187,0.0184856,0.00616187,0.0184856,0.00616187
34,5499.01,1.32209,1.16571,0.01105,0.81664,0.78571,0.82452,0.59856,1.4236,1.40724,0.01729,0.0181674,0.0060558,0.0181674,0.0060558,0.0181674,0.0060558,0.0181674,0.0060558
35,5659.66,1.3189,1.16987,0.01104,0.8208,0.79354,0.82306,0.60411,1.46412,1.38107,0.01875,0.0178432,0.00594774,0.0178432,0.00594774,0.0178432,0.00594774,0.0178432,0.00594774
36,5820.55,1.30805,1.15158,0.01073,0.82761,0.77082,0.80977,0.59175,1.44029,1.453,0.01851,0.0175134,0.0058378,0.0175134,0.0058378,0.0175134,0.0058378,0.0175134,0.0058378
37,5981.2,1.30679,1.15279,0.01088,0.81685,0.7891,0.81752,0.59869,1.4506,1.42964,0.01829,0.0171783,0.00572609,0.0171783,0.00572609,0.0171783,0.00572609,0.0171783,0.00572609
38,6141.3,1.30618,1.13325,0.01095,0.84793,0.7621,0.81554,0.59704,1.44282,1.38121,0.01794,0.0168381,0.00561271,0.0168381,0.00561271,0.0168381,0.00561271,0.0168381,0.00561271
39,6301.78,1.28569,1.0859,0.01084,0.80663,0.79385,0.8202,0.61173,1.40792,1.36506,0.01727,0.0164933,0.00549777,0.0164933,0.00549777,0.0164933,0.00549777,0.0164933,0.00549777
