epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,4711.18,1.46145,1.49923,0.01177,0.78943,0.74468,0.77611,0.59708,1.52751,1.58492,0.01073,0.0221255,0.00737518,0.0221255,0.00737518,0.0221255,0.00737518,0.0221255,0.00737518
31,4867.22,1.44276,1.47909,0.01149,0.81274,0.69938,0.76923,0.58875,1.51483,1.63451,0.01081,0.0219979,0.00733262,0.0219979,0.00733262,0.0219979,0.00733262,0.0219979,0.00733262
32,5025.31,1.45134,1.46642,0.01138,0.80006,0.72816,0.78005,0.59791,1.5154,1.58904,0.0108,0.0218664,0.00728879,0.0218664,0.00728879,0.0218664,0.00728879,0.0218664,0.00728879
33,5181.4,1.43832,1.43612,0.01159,0.80639,0.72162,0.76881,0.5931,1.49163,1.58261,0.01077,0.0217311,0.00724371,0.0217311,0.00724371,0.0217311,0.00724371,0.0217311,0.00724371
34,5338.8,1.42499,1.42326,0.01121,0.85395,0.71443,0.77999,0.61016,1.4737,1.54759,0.01061,0.0215922,0.00719739,0.0215922,0.00719739,0.0215922,0.00719739,0.0215922,0.00719739
35,5495.14,1.44118,1.42363,0.01121,0.74151,0.75842,0.77676,0.60007,1.49092,1.54376,0.01061,0.0214496,0.00714986,0.0214496,0.00714986,0.0214496,0.00714986,0.0214496,0.00714986
36,5651.72,1.4235,1.39411,0.01115,0.76919,0.75549,0.78494,0.60173,1.49569,1.48749,0.01059,0.0213034,0.00710112,0.0213034,0.00710112,0.0213034,0.00710112,0.0213034,0.00710112
37,5809.39,1.40968,1.3585,0.0111,0.82957,0.7186,0.75951,0.58781,1.48167,1.52269,0.01079,0.0211536,0.00705121,0.0211536,0.00705121,0.0211536,0.00705121,0.0211536,0.00705121
38,5967.72,1.40733,1.35746,0.01102,0.76796,0.73273,0.77314,0.60144,1.48338,1.57315,0.01056,0.0210004,0.00700013,0.0210004,0.00700013,0.0210004,0.00700013,0.0210004,0.00700013
39,6126.5,1.41568,1.39034,0.01086,0.79471,0.73635,0.77959,0.59948,1.48447,1.53553,0.01073,0.0208438,0.00694792,0.0208438,0.00694792,0.0208438,0.00694792,0.0208438,0.00694792
40,6284.12,1.39709,1.32891,0.01087,0.81055,0.7614,0.79081,0.60961,1.47303,1.47326,0.01037,0.0206837,0.00689458,0.0206837,0.00689458,0.0206837,0.00689458,0.0206837,0.00689458
41,6442.11,1.39803,1.34362,0.01088,0.78624,0.75757,0.78504,0.60812,1.46571,1.50009,0.01037,0.0205204,0.00684014,0.0205204,0.00684014,0.0205204,0.00684014,0.0205204,0.00684014
42,6599.65,1.39992,1.28934,0.01095,0.76667,0.75017,0.78553,0.60632,1.43926,1.52476,0.01023,0.0203539,0.00678463,0.0203539,0.00678463,0.0203539,0.00678463,0.0203539,0.00678463
43,6757.19,1.38249,1.33081,0.01073,0.8096,0.7375,0.79712,0.62387,1.44648,1.44867,0.01033,0.0201842,0.00672805,0.0201842,0.00672805,0.0201842,0.00672805,0.0201842,0.00672805
44,6914.34,1.38237,1.29664,0.01084,0.81034,0.74793,0.79236,0.61427,1.4419,1.50047,0.01034,0.0200113,0.00667044,0.0200113,0.00667044,0.0200113,0.00667044,0.0200113,0.00667044
45,7070.46,1.36103,1.27545,0.01069,0.82142,0.7431,0.78455,0.60858,1.44048,1.51571,0.01016,0.0198354,0.00661181,0.0198354,0.00661181,0.0198354,0.00661181,0.0198354,0.00661181
46,7226.73,1.35858,1.24955,0.01046,0.75065,0.7577,0.77767,0.59585,1.44596,1.46098,0.01057,0.0196566,0.0065522,0.0196566,0.0065522,0.0196566,0.0065522,0.0196566,0.0065522
47,7383.37,1.36418,1.28104,0.01061,0.81765,0.77094,0.81214,0.62186,1.4383,1.41276,0.01022,0.0194748,0.00649161,0.0194748,0.00649161,0.0194748,0.00649161,0.0194748,0.00649161
48,7541.69,1.36418,1.2712,0.01041,0.84215,0.72574,0.79503,0.61459,1.44231,1.46298,0.01005,0.0192902,0.00643008,0.0192902,0.00643008,0.0192902,0.00643008,0.0192902,0.00643008
49,7697.87,1.33633,1.20711,0.01046,0.81117,0.75782,0.79581,0.61382,1.42284,1.57179,0.01021,0.0191029,0.00636763,0.0191029,0.00636763,0.0191029,0.00636763,0.0191029,0.00636763
50,7853.85,1.3501,1.241,0.01041,0.84367,0.76009,0.80049,0.62188,1.44285,1.46618,0.01036,0.0189128,0.00630428,0.0189128,0.00630428,0.0189128,0.00630428,0.0189128,0.00630428
51,8010.5,1.32875,1.19985,0.01036,0.8288,0.75261,0.80554,0.63052,1.41002,1.43309,0.01003,0.0187202,0.00624006,0.0187202,0.00624006,0.0187202,0.00624006,0.0187202,0.00624006
52,8165.77,1.32911,1.2068,0.01055,0.85222,0.75089,0.80361,0.62852,1.40909,1.47605,0.0098,0.018525,0.00617499,0.018525,0.00617499,0.018525,0.00617499,0.018525,0.00617499
53,8321.51,1.32155,1.18707,0.01033,0.8311,0.7467,0.79468,0.61984,1.4098,1.43383,0.00991,0.0183273,0.00610909,0.0183273,0.00610909,0.0183273,0.00610909,0.0183273,0.00610909
54,8478.44,1.317,1.18057,0.01008,0.77034,0.76817,0.79096,0.61351,1.39352,1.4503,0.00996,0.0181272,0.0060424,0.0181272,0.0060424,0.0181272,0.0060424,0.0181272,0.0060424
55,8635.3,1.32026,1.18414,0.00996,0.84308,0.77035,0.81529,0.63362,1.38814,1.44067,0.00971,0.0179248,0.00597494,0.0179248,0.00597494,0.0179248,0.00597494,0.0179248,0.00597494
56,8791.58,1.30757,1.16537,0.01,0.80392,0.76777,0.8117,0.63338,1.38148,1.39572,0.00979,0.0177202,0.00590673,0.0177202,0.00590673,0.0177202,0.00590673,0.0177202,0.00590673
57,8948.54,1.3086,1.1598,0.01004,0.83886,0.74564,0.79368,0.62303,1.37074,1.4515,0.00967,0.0175134,0.0058378,0.0175134,0.0058378,0.0175134,0.0058378,0.0175134,0.0058378
58,9105.75,1.31067,1.14979,0.00987,0.84892,0.75411,0.81047,0.63718,1.3943,1.45335,0.00992,0.0173045,0.00576818,0.0173045,0.00576818,0.0173045,0.00576818,0.0173045,0.00576818
59,9262.02,1.29242,1.13698,0.00988,0.84579,0.76853,0.80677,0.63095,1.39321,1.42553,0.00971,0.0170937,0.00569789,0.0170937,0.00569789,0.0170937,0.00569789,0.0170937,0.00569789
60,9420.41,1.30552,1.1401,0.00995,0.81667,0.76098,0.80556,0.6284,1.38591,1.46527,0.00985,0.0168809,0.00562697,0.0168809,0.00562697,0.0168809,0.00562697,0.0168809,0.00562697
61,9577.49,1.28973,1.13137,0.0097,0.88431,0.74021,0.80831,0.63452,1.37183,1.44703,0.00981,0.0166663,0.00555543,0.0166663,0.00555543,0.0166663,0.00555543,0.0166663,0.00555543
62,9735.1,1.27394,1.1139,0.00958,0.82021,0.7861,0.80454,0.63475,1.36451,1.418,0.00966,0.0164499,0.0054833,0.0164499,0.0054833,0.0164499,0.0054833,0.0164499,0.0054833
63,9892.44,1.27282,1.11253,0.00955,0.83576,0.78396,0.82076,0.64154,1.36555,1.36623,0.00964,0.0162319,0.00541062,0.0162319,0.00541062,0.0162319,0.00541062,0.0162319,0.00541062
